   Threads       Time     Gflops
         1     2.2104     2.7157
         2     1.6400     3.6602
         4     0.9832     6.1056
         8     0.5419    11.0770
        12     0.3801    15.7925
        16     0.2961    20.2711
        24     0.2162    27.7660
        32     0.1799    33.3678
        40     0.1643    36.5340
