   Threads       Time     Gflops
         1     0.5659     2.6532
         2     0.4052     3.7056
         4     0.2433     6.1720
         8     0.1416    10.6016
        12     0.1032    14.5443
        16     0.0849    17.6911
        24     0.0706    21.2672
        32     0.0619    24.2355
        40     0.0578    25.9769
