   Threads       Time     Gflops
         1     8.8029     2.7270
         2     6.4849     3.7017
         4     3.8643     6.2120
         8     2.0995    11.4340
        12     1.4624    16.4149
        16     1.1257    21.3257
        24     0.8050    29.8207
        32     0.6584    36.4614
        40     0.5957    40.2970
